Sr.No.,Accord Code,Company Name,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Listing Status,CD_ISIN No,CD_CIN Number,CD_Industry
4596,243201,NRB Industrial Bearings Ltd.,535458,NIBL,NIBL IN,NIBL.BO,Listed,INE047O01014,L29253MH2011PLC213963,Bearings
4597,103780,NRC Ltd.,503780,NRC,NTRY IN,NTRY.BO,Listed,INE953C01018,L17120MH1946PLC005227,Textile - Manmade  Fibres
4598,244836,NRI Investments Ltd.,,,,,Listed,,L65923WB1992PLC055577,Finance - Investment
4599,126723,NTC Industries Ltd.,526723,,NTCIL IN,NTCI.BO,Listed,INE920C01017,L70109WB1991PLC053562,Cigarettes/Tobacco
4600,132555,NTPC Ltd.,532555,NTPC,NTPC IN,NTPC.BO,Listed,INE733E01010,L40101DL1975GOI007966,Power Generation/Distribution
4601,200090,Nu Tek India Ltd.,533015,NUTEK,NTKL IN,NUTK.BO,Listed,INE318J01027,L74899DL1993PLC054313,Telecommunication - Equipment
4602,130725,Nubal (India) Ltd.,530725,,NBLI IN,,Listed,INE007F01016,L30007TN1990PLC019969,Engineering
4603,100311,Nuchem Ltd.,500311,NUCHEM,NUC IN,NUCH.BO,Listed,INE946A01016,L25209HR1951PLC001694,Wood & Wood Products
4604,131209,Nucleus Software Exports Ltd.,531209,NUCLEUS,NCS IN,NSEL.BO,Listed,INE096B01018,L74899DL1989PLC034594,IT - Software 
4605,107884,Numech Emballage Ltd.,507884,,NUMC IN,,Listed,INE679D01017,L25209MH1985PLC037533,Textile 
